Latitude,Longitude,Depth,Day,Month,Year,Reference,Method,Acanthoica acanthifera,Acanthoica acanthos,Acanthoica quattrospina,Anoplosolenia brasiliensis,Anoplosolenia braziliensis,Anthosphaera SP.,Braarudosphaera bigelowii,Calcidiscus leptoporus (MURRA,Calcioconus vitreus,Calciosolenia murrayi,Calciosolenia murrayi ,Calyptrosphaera sp.,Caneosphaera molischii,Caneosphaera molischii and similar,Coccolithophorida ,Coccolithophoridae ,Coccolithophorids <10 um,Coccolithophorids <10 um (5 - 10),Coccolithus huxleyi,Coccolithus pelagicus,Coronosphaera sp.,Cricosphaera carterae,Crystallolithus hyalina,Cyclococcolithus fragilis,Discosphaera  tubifer,Emiliania huxleyi,Emiliania huxleyi ,Gephyracapsa sp.,Halopappus adriaticus ,Heimiella excentrica,Helicosphaera carteri,Holococcolithophorid 14µm,Holococcolithophorid 8µm,Lohmannosphaera adriatica,Lohmannosphaera paucoscyphos,Michaelsarsia elegans ,Ophiaster hydroideuss ,Other coccolithophores,Pontosphaera huxleyi ,Pontosphaera nigra,Pontosphaera syracusana,Pontosphaera syracusana Lohmann,Rhabdosphaera claviger,Scyphosphaera apstenii,Syrachosphaera pulchra,Syracosphaera brandtii ,Syracosphaera cf. pulchra ,Syracosphaera mediterranea ,Syracosphaera pulchra,Thoracosphaera heimii,Umbellosphaera irregularis ,Umbellosphaera sp,Umbilicosphaera mirabilis,Umbilicosphaera sibogae (Weber-van-Bosse) Gaarder,Unident. Coccolithophorid,coccolith sp.,coccolithoph sexton,coccolithophorid,mixed coccolithophorids
-50.6666666666667,68.4166666666667,0.0,0,7,1994,http://www.obs-vlfr.fr/cd_rom_dmtt/other_main.htm,LM,,,,,,,,,,,,,,,,,,8940.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-50.6666666666667,68.4166666666667,0.0,0,7,1993,http://www.obs-vlfr.fr/cd_rom_dmtt/other_main.htm,LM,,,,,,,,,,,,,,,,,5944.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-50.6666666666667,68.4166666666667,0.0,0,8,1994,http://www.obs-vlfr.fr/cd_rom_dmtt/other_main.htm,LM,,,,,,,,,,,,,,,,,,2730.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-50.6666666666667,68.4166666666667,0.0,0,8,1993,http://www.obs-vlfr.fr/cd_rom_dmtt/other_main.htm,LM,,,,,,,,,,,,,,,,,5240.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-50.6666666666667,68.4166666666667,0.0,0,9,1993,http://www.obs-vlfr.fr/cd_rom_dmtt/other_main.htm,LM,,,,,,,,,,,,,,,,,5240.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-50.6666666666667,68.4166666666667,0.0,0,10,1994,http://www.obs-vlfr.fr/cd_rom_dmtt/other_main.htm,LM,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-50.6666666666667,68.4166666666667,0.0,0,10,1993,http://www.obs-vlfr.fr/cd_rom_dmtt/other_main.htm,LM,,,,,,,,,,,,,,,,,2200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-50.6666666666667,68.4166666666667,0.0,0,11,1994,http://www.obs-vlfr.fr/cd_rom_dmtt/other_main.htm,LM,,,,,,,,,,,,,,,,,,11810.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-50.6666666666667,68.4166666666667,0.0,0,11,1993,http://www.obs-vlfr.fr/cd_rom_dmtt/other_main.htm,LM,,,,,,,,,,,,,,,,,1654.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-50.6666666666667,68.4166666666667,0.0,0,12,1994,http://www.obs-vlfr.fr/cd_rom_dmtt/other_main.htm,LM,,,,,,,,,,,,,,,,,,24463.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-50.6666666666667,68.4166666666667,0.0,0,12,1993,http://www.obs-vlfr.fr/cd_rom_dmtt/other_main.htm,LM,,,,,,,,,,,,,,,,,6340.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-50.6666666666667,68.4166666666667,0.0,0,12,1992,http://www.obs-vlfr.fr/cd_rom_dmtt/other_main.htm,LM,,,,,,,,,,,,,,,,,288290.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-50.6666666666667,68.4166666666667,20.0,0,2,1995,http://www.obs-vlfr.fr/cd_rom_dmtt/other_main.htm,LM,,,,,,,,,,,,,,,,,,33520.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-50.6666666666667,68.4166666666667,20.0,0,11,1993,http://www.obs-vlfr.fr/cd_rom_dmtt/other_main.htm,LM,,,,,,,,,,,,,,,,,1940.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-50.6666666666667,68.4166666666667,30.0,0,1,1994,http://www.obs-vlfr.fr/cd_rom_dmtt/other_main.htm,LM,,,,,,,,,,,,,,,,,,6592.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-50.6666666666667,68.4166666666667,30.0,0,5,1994,http://www.obs-vlfr.fr/cd_rom_dmtt/other_main.htm,LM,,,,,,,,,,,,,,,,,,7000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-50.6666666666667,68.4166666666667,30.0,0,12,1992,http://www.obs-vlfr.fr/cd_rom_dmtt/other_main.htm,LM,,,,,,,,,,,,,,,,,135280.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-50.6666666666667,68.4166666666667,75.0,0,2,1994,http://www.obs-vlfr.fr/cd_rom_dmtt/other_main.htm,LM,,,,,,,,,,,,,,,,,,63650.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-50.6666666666667,68.4166666666667,75.0,0,4,1994,http://www.obs-vlfr.fr/cd_rom_dmtt/other_main.htm,LM,,,,,,,,,,,,,,,,,,11220.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-50.6666666666667,68.4166666666667,75.0,0,8,1994,http://www.obs-vlfr.fr/cd_rom_dmtt/other_main.htm,LM,,,,,,,,,,,,,,,,,,14800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-50.6666666666667,68.4166666666667,75.0,0,11,1994,http://www.obs-vlfr.fr/cd_rom_dmtt/other_main.htm,LM,,,,,,,,,,,,,,,,,,17540.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
