species,CN,CL,CD
Calcidiscus leptoporus,16,6.78,11.96
Calcidiscus leptoporus,12,6.76,10.52
Calcidiscus leptoporus,18,6.59,12.52
Calcidiscus leptoporus,18,6.66,12.39
Calcidiscus leptoporus,14,6.86,12.05
Calcidiscus leptoporus,14,6.48,11.52
Calcidiscus leptoporus,17,6.46,12.20
Calcidiscus leptoporus,17,6.31,11.08
Calcidiscus leptoporus,23,7.03,12.73
Calcidiscus leptoporus,18,6.72,13.02
Calcidiscus leptoporus,18,7.26,12.96
Calcidiscus leptoporus,16,6.50,12.16
Calcidiscus leptoporus,24,5.93,14.18
Calcidiscus leptoporus,22,5.80,13.22
Calcidiscus leptoporus,21,7.26,12.42
Calcidiscus leptoporus,23,6.36,13.57
Calcidiscus leptoporus,18,6.15,11.54
Calcidiscus leptoporus,24,6.52,13.71
Calcidiscus leptoporus,19,7.38,13.67
Calcidiscus leptoporus,25,6.12,13.40
Calcidiscus leptoporus,19,6.14,13.07
Calcidiscus leptoporus,24,7.20,14.82
Calcidiscus leptoporus,18,7.05,12.26
Calcidiscus leptoporus,25,7.02,14.13
Calcidiscus leptoporus,20,6.27,13.03
Calcidiscus leptoporus,20,6.22,13.31
Calcidiscus leptoporus,26,6.19,14.48
Calcidiscus leptoporus,21,6.15,13.28
Calcidiscus leptoporus,21,6.63,12.66
Calcidiscus leptoporus,22,5.88,12.22
Calcidiscus leptoporus,18,6.67,11.57
Calcidiscus leptoporus,27,5.82,14.75
Calcidiscus leptoporus,26,7.04,13.37
Calcidiscus leptoporus,17,6.58,12.05
Calcidiscus leptoporus,24,6.32,14.51
Calcidiscus leptoporus,28,7.17,14.18
Calcidiscus leptoporus,15,6.36,10.80
Calcidiscus leptoporus,24,6.37,13.68
Calcidiscus leptoporus,22,6.15,12.18
Calcidiscus leptoporus,17,7.32,12.09
Calcidiscus leptoporus,18,6.56,11.95
Calcidiscus leptoporus,20,6.02,12.63
Calcidiscus leptoporus,20,5.93,12.43
Calcidiscus leptoporus,22,7.20,13.86
Calcidiscus leptoporus,18,7.07,11.63
Calcidiscus leptoporus,18,7.45,11.50
Calcidiscus leptoporus,24,6.66,14.87
Calcidiscus leptoporus,23,7.10,14.95
Calcidiscus leptoporus,18,5.94,11.45
Calcidiscus leptoporus,23,6.59,13.20
Calcidiscus leptoporus,20,7.18,11.79
Calcidiscus leptoporus,32,6.90,15.21
Calcidiscus leptoporus,22,7.23,13.19
Calcidiscus leptoporus,23,6.64,12.31
Calcidiscus leptoporus,21,6.83,13.59
Calcidiscus leptoporus,19,6.61,12.62
Calcidiscus leptoporus,22,7.12,13.25
Calcidiscus leptoporus,20,6.02,13.36
Calcidiscus leptoporus,26,6.68,14.23
Calcidiscus leptoporus,28,6.55,15.09
Calcidiscus leptoporus,18,6.71,11.95
Calcidiscus leptoporus,24,6.40,13.82
Calcidiscus leptoporus,17,6.64,11.86
Calcidiscus leptoporus,17,6.01,12.07
Calcidiscus leptoporus,24,6.75,13.25
Calcidiscus leptoporus,18,6.14,12.18
Calcidiscus leptoporus,18,6.00,12.24
Calcidiscus leptoporus,23,6.38,14.09
Calcidiscus leptoporus,15,6.68,12.05
Calcidiscus leptoporus,27,6.83,14.28
Calcidiscus leptoporus,24,5.92,13.62
Calcidiscus leptoporus,18,7.27,12.32
Calcidiscus leptoporus,22,6.74,12.13
Calcidiscus leptoporus,19,6.37,15.27
Calcidiscus leptoporus,15,8.23,13.59
Calcidiscus leptoporus,23,6.89,17.30
Calcidiscus leptoporus,22,6.35,15.22
Calcidiscus leptoporus,11,6.13,12.59
Calcidiscus leptoporus,13,7.16,11.81
Calcidiscus leptoporus,22,7.14,16.54
Calcidiscus leptoporus,16,5.68,12.84
Calcidiscus leptoporus,16,7.45,14.45
Calcidiscus leptoporus,15,6.09,11.61
Calcidiscus leptoporus,20,7.69,13.78
Calcidiscus leptoporus,12,5.98,11.46
Calcidiscus leptoporus,16,6.86,12.86
Calcidiscus leptoporus,26,5.91,16.38
Calcidiscus leptoporus,17,6.71,13.30
Calcidiscus leptoporus,23,7.38,15.27
Calcidiscus leptoporus,20,7.50,15.34
Calcidiscus leptoporus,12,5.92,10.84
Calcidiscus leptoporus,14,6.84,13.22
