Coccosphere condition,Genus,Species,pg pic
Intact,Calcidiscus,leptoporus,212.1
"Intact, partial",Calcidiscus,leptoporus,148.23
"Partial image, other part in 12",Calcidiscus,leptoporus,440.6
Intact,Calcidiscus,leptoporus,205.48
"Partial image, other part in 314",Calcidiscus,leptoporus,284.5
"Partial image, other part in",Calcidiscus,leptoporus,371.86
Intact,Calcidiscus,leptoporus,184.6
Intact,Calcidiscus,leptoporus,181.11
Intact,Calcidiscus,leptoporus,296.49
Intact,Calcidiscus,leptoporus,251.26
Intact,Calcidiscus,leptoporus,165.36
Intact,Calcidiscus,leptoporus,269.35
Intact,Calcidiscus,leptoporus,234.91
"Intact, partial, other in 313",Calcidiscus,leptoporus,162.88
Intact,Calcidiscus,leptoporus,336.25
Intact,Calcidiscus,leptoporus,237.38
Intact,Calcidiscus,leptoporus,104.56
Intact,Syracosphaera,leptolepis,1.21
Intact,Syracosphaera,leptolepis,2.54
Intact,Umbellosphaera,irregularis,4.17
Intact,Umbellosphaera,irregularis,16.96
Intact,Umbellosphaera,irregularis,16.98
Intact,Umbellosphaera,irregularis,15.85
Intact,Umbellosphaera,irregularis,7.2
Intact,Umbellosphaera,irregularis,20.63
Intact,Umbellosphaera,irregularis,10.81
Intact,Umbellosphaera,irregularis,8.03
Intact,Umbellosphaera,irregularis,7.97
Intact,Umbellosphaera,irregularis,16.79
Intact,Umbellosphaera,irregularis,11.08
Partial image,Umbellosphaera,irregularis,12.39
Intact,Umbellosphaera,irregularis,13.35
Intact,Umbellosphaera,irregularis,3.34
Intact,Umbellosphaera,irregularis,7.14
Intact,Umbellosphaera,irregularis,5.51
Intact,Umbellosphaera,irregularis,6.16
"Partial image, other part in 504",Umbellosphaera,irregularis,15.47
Intact,Umbellosphaera,irregularis,3.79
Intact,Umbellosphaera,irregularis,0
Intact,Umbellosphaera,irregularis,0.13
Intact,Umbellosphaera,irregularis,0.09
Intact,Umbellosphaera,irregularis,6.66
Intact,Umbellosphaera,irregularis,0.14
Intact,Umbellosphaera,irregularis,9.53
"Intact, partial, other in 242",Umbellosphaera,irregularis,11.92
Intact,Umbellosphaera,irregularis,13.34
Intact,Umbellosphaera,irregularis,15.17
Intact,Umbellosphaera,irregularis,13.45
Intact,Umbellosphaera,irregularis,12.37
Intact,Umbellosphaera,irregularis,14.78
Intact,Umbellosphaera,irregularis,22.78
Intact,Umbellosphaera,irregularis,19.77
Intact,Umbellosphaera,irregularis,16.94
Intact,Umbellosphaera,irregularis,33.37
Intact,Umbellosphaera,irregularis,40.65
Intact,Helicosphaera,hyalina,148.53
Intact,Helicosphaera,hyalina,55.52
"Part of intact coccosphere, other half in image 0624",Helicosphaera,hyalina,57.4
Intact,Emiliania,huxleyi var. corona,2.04
Intact,Emiliania,huxleyi,1.36
Intact,Emiliania,huxleyi,2.24
Intact,Emiliania,huxleyi,2.48
Intact,Emiliania,huxleyi,1.73
Intact,Emiliania,huxleyi,1.71
Intact,Emiliania,huxleyi,2.35
Intact,Emiliania,huxleyi,0.84
Intact,Emiliania,huxleyi,1.07
Intact,Emiliania,huxleyi,1.79
Intact,Emiliania,huxleyi,1.14
Intact,Emiliania,huxleyi,1.04
Intact,Emiliania,huxleyi,0.78
Intact,Emiliania,huxleyi,2.88
Intact,Emiliania,huxleyi,2.16
Intact,Emiliania,huxleyi,1.19
Intact,Emiliania,huxleyi,1.85
Intact,Emiliania,huxleyi,3.73
Intact,Emiliania,huxleyi,1.92
Intact,Emiliania,huxleyi,1.81
Intact,Emiliania,huxleyi,1.79
Intact,Emiliania,huxleyi,5.9
Intact,Emiliania,huxleyi,3.04
Intact,Emiliania,huxleyi,1.24
Intact,Emiliania,huxleyi,0.87
Intact,Emiliania,huxleyi,1.12
Intact,Emiliania,huxleyi,0.98
Intact,Emiliania,huxleyi,0.6
Intact,Emiliania,huxleyi,1.73
Intact,Emiliania,huxleyi,3.12
Intact,Emiliania,huxleyi,1.32
Intact,Emiliania,huxleyi,1.3
Intact,Emiliania,huxleyi,2.02
Intact,Emiliania,huxleyi,1.14
Intact,Emiliania,huxleyi,1.03
Intact,Emiliania,huxleyi,5.8
Intact,Emiliania,huxleyi,2.51
Intact,Emiliania,huxleyi,1.71
Intact,Emiliania,huxleyi,0.77
Intact,Emiliania,huxleyi,3.63
Intact,Emiliania,huxleyi,1.14
Intact,Emiliania,huxleyi,1.83
Intact,Emiliania,huxleyi,0.93
Intact,Emiliania,huxleyi,0.53
Intact,Emiliania,huxleyi,2.77
Intact,Emiliania,huxleyi,0.96
Intact,Emiliania,huxleyi,1.21
Intact,Emiliania,huxleyi,1.76
Intact,Emiliania,huxleyi,1.01
Intact,Emiliania,huxleyi,1.43
Intact,Emiliania,huxleyi,1.21
Intact,Emiliania,huxleyi,3.89
Intact,Emiliania,huxleyi,1.67
Intact,Emiliania,huxleyi,1.34
Intact,Emiliania,huxleyi,1.75
Intact,Emiliania,huxleyi,7.06
Intact,Emiliania,huxleyi,1.43
Intact,Emiliania,huxleyi,2.03
Intact,Emiliania,huxleyi,1.65
Intact,Emiliania,huxleyi,1.53
Intact,Emiliania,huxleyi,2.1
Intact,Emiliania,huxleyi,2.64
Intact,Emiliania,huxleyi,1.58
Intact,Emiliania,huxleyi,2.35
Intact,Emiliania,huxleyi,1.72
Intact,Emiliania,huxleyi,0.72
Intact,Emiliania,huxleyi,0.76
Intact,Emiliania,huxleyi,1.14
Intact,Emiliania,huxleyi,0.93
Intact,Emiliania,huxleyi,0.65
Intact,Emiliania,huxleyi,1.65
Intact,Emiliania,huxleyi,0.75
Intact,Emiliania,huxleyi,1.38
Intact,Emiliania,huxleyi,0.77
Intact,Emiliania,huxleyi,2.3
Intact,Emiliania,huxleyi,2.76
Intact,Emiliania,huxleyi,1.65
Intact,Emiliania,huxleyi,4.78
Intact,Emiliania,huxleyi,4.37
Intact,Emiliania,huxleyi,0.96
Intact,Emiliania,huxleyi,0.65
Intact,Emiliania,huxleyi,5.95
Intact,Emiliania,huxleyi,6.63
Intact,Emiliania,huxleyi,0.93
Intact,Emiliania,huxleyi,0.7
Intact,Emiliania,huxleyi,1.65
Intact,Emiliania,huxleyi,6.36
Intact,Emiliania,huxleyi,1.47
Intact,Emiliania,huxleyi,4.98
Intact,Emiliania,huxleyi,1.82
Intact,Emiliania,huxleyi,1.75
Intact,Emiliania,huxleyi,1.21
Intact,Emiliania,huxleyi,3.71
Intact,Emiliania,huxleyi,6.67
Intact,Emiliania,huxleyi,1.84
Intact,Emiliania,huxleyi,1.57
Intact,Emiliania,huxleyi,1.08
Intact,Emiliania,huxleyi,1.32
Intact,Emiliania,huxleyi,6.03
Intact,Emiliania,huxleyi,0.95
Intact,Emiliania,huxleyi,1.61
Intact,Emiliania,huxleyi,1.67
Intact,Emiliania,huxleyi,1.06
Intact,Emiliania,huxleyi,2.21
Intact,Emiliania,huxleyi,1.09
Intact,Emiliania,huxleyi,2.92
Intact,Emiliania,huxleyi,1.09
Intact,Emiliania,huxleyi,1.5
Intact,Emiliania,huxleyi,1.1
Intact,Emiliania,huxleyi,1.51
Intact,Emiliania,huxleyi,0.7
Intact,Emiliania,huxleyi,2.36
Intact,Emiliania,huxleyi,1.89
Intact,Emiliania,huxleyi,1.16
Intact,Emiliania,huxleyi,0.8
Intact,Emiliania,huxleyi,0.5
Intact,Emiliania,huxleyi,1.86
Intact,Emiliania,huxleyi,1.69
Intact,Emiliania,huxleyi,1.17
Intact,Emiliania,huxleyi,3.64
Intact,Emiliania,huxleyi,1.52
Intact,Emiliania,huxleyi,2.15
Intact,Emiliania,huxleyi,1.05
Intact,Emiliania,huxleyi,1.26
Intact,Emiliania,huxleyi,0.87
Intact,Emiliania,huxleyi,0.4
Intact,Emiliania,huxleyi,1.12
Intact,Emiliania,huxleyi,1.67
Intact,Emiliania,huxleyi,1.08
Intact,Emiliania,huxleyi,1.28
Intact,Emiliania,huxleyi,0.85
Intact,Emiliania,huxleyi,0.89
Intact,Emiliania,huxleyi,1.7
Intact,Emiliania,huxleyi,0.74
Intact,Emiliania,huxleyi,1.73
Intact,Emiliania,huxleyi,1.82
Intact,Emiliania,huxleyi,0.79
Intact,Emiliania,huxleyi,1.37
Intact,Emiliania,huxleyi,1.19
Intact,Emiliania,huxleyi,0.88
Intact,Emiliania,huxleyi,2.75
Intact,Emiliania,huxleyi,1.92
Intact,Emiliania,huxleyi,0.88
Intact,Emiliania,huxleyi,1.21
Intact,Emiliania,huxleyi,2.31
Intact,Emiliania,huxleyi,1.56
Intact,Emiliania,huxleyi,2.19
Intact,Emiliania,huxleyi,0.95
Intact,Emiliania,huxleyi,2.42
Intact,Emiliania,huxleyi,1.28
Intact,Emiliania,huxleyi,0.9
Intact,Emiliania,huxleyi,1.27
Intact,Emiliania,huxleyi,1.65
Intact,Emiliania,huxleyi,1.71
Intact,Emiliania,huxleyi,1
Intact,Emiliania,huxleyi,1.76
Intact,Emiliania,huxleyi,0.79
Intact,Emiliania,huxleyi,0.9
Intact,Emiliania,huxleyi,1.21
Intact,Emiliania,huxleyi,0.75
Intact,Emiliania,huxleyi,0.99
Intact,Emiliania,huxleyi,1.42
Intact,Emiliania,huxleyi,1.09
Intact,Emiliania,huxleyi,0.64
Intact,Emiliania,huxleyi,1.11
Intact,Emiliania,huxleyi,1.49
Intact,Emiliania,huxleyi,1.7
Intact,Emiliania,huxleyi,1.08
Intact,Emiliania,huxleyi,1.69
Intact,Emiliania,huxleyi,2.18
Intact,Emiliania,huxleyi,2.08
Intact,Emiliania,huxleyi,1.01
Intact,Emiliania,huxleyi,1.24
Intact,Emiliania,huxleyi,3.57
Intact,Emiliania,huxleyi,0.79
Intact,Emiliania,huxleyi,0.16
Intact,Emiliania,huxleyi,5.35
Intact,Emiliania,huxleyi,3.22
Intact,Emiliania,huxleyi,0.58
Intact,Emiliania,huxleyi,1.01
Intact,Emiliania,huxleyi,1.2
Intact,Emiliania,huxleyi,1.38
Intact,Emiliania,huxleyi,1.16
