species,CN,CL
Calcidiscus quadriperforatus,20,9.10
Calcidiscus quadriperforatus,16,8.87
Calcidiscus quadriperforatus,16,9.68
Calcidiscus quadriperforatus,16,9.83
Calcidiscus quadriperforatus,12,10.79
Calcidiscus quadriperforatus,22,9.37
Calcidiscus quadriperforatus,18,8.85
Calcidiscus quadriperforatus,18,8.74
Calcidiscus quadriperforatus,16,8.40
Calcidiscus quadriperforatus,15,9.82
Calcidiscus quadriperforatus,15,9.20
Calcidiscus quadriperforatus,20,9.53
Calcidiscus quadriperforatus,13,8.32
Calcidiscus quadriperforatus,12,8.90
Calcidiscus quadriperforatus,18,9.78
Calcidiscus quadriperforatus,20,8.85
Calcidiscus quadriperforatus,19,10.09
Calcidiscus quadriperforatus,20,9.15
Calcidiscus quadriperforatus,14,10.23
Calcidiscus quadriperforatus,15,8.82
Calcidiscus quadriperforatus,16,8.86
Calcidiscus quadriperforatus,22,9.63
Calcidiscus quadriperforatus,15,9.06
Calcidiscus quadriperforatus,17,9.93
Calcidiscus quadriperforatus,15,9.01
Calcidiscus quadriperforatus,13,9.92
Calcidiscus quadriperforatus,14,9.29
Calcidiscus quadriperforatus,16,10.59
Calcidiscus quadriperforatus,15,9.00
Calcidiscus quadriperforatus,20,8.27
Calcidiscus quadriperforatus,17,9.56
Calcidiscus quadriperforatus,16,7.39
Calcidiscus quadriperforatus,14,8.64
Calcidiscus quadriperforatus,14,8.70
Calcidiscus quadriperforatus,16,9.10
Calcidiscus quadriperforatus,18,10.31
Calcidiscus quadriperforatus,14,10.62
Calcidiscus quadriperforatus,16,8.80
Calcidiscus quadriperforatus,22,10.02
Calcidiscus quadriperforatus,19,8.83
Calcidiscus quadriperforatus,17,8.78
Calcidiscus quadriperforatus,16,9.61
Calcidiscus quadriperforatus,19,10.76
Calcidiscus quadriperforatus,16,8.21
Calcidiscus quadriperforatus,17,9.78
Calcidiscus quadriperforatus,15,9.00
Calcidiscus quadriperforatus,14,10.58
Calcidiscus quadriperforatus,20,7.99
Calcidiscus quadriperforatus,13,6.96
Calcidiscus quadriperforatus,18,9.47
Calcidiscus quadriperforatus,18,9.40
Calcidiscus quadriperforatus,21,8.27
Calcidiscus quadriperforatus,25,8.20
Calcidiscus quadriperforatus,23,8.42
Calcidiscus quadriperforatus,23,11.21
Calcidiscus quadriperforatus,20,6.58
