species,CN,CL
Emiliania huxleyi,21.33,2.75
Emiliania huxleyi,21.33,3.39
Emiliania huxleyi,18.67,3.42
Emiliania huxleyi,21.33,3.83
Emiliania huxleyi,21.33,3.61
Emiliania huxleyi,21.33,3.59
Emiliania huxleyi,18.67,3.7
Emiliania huxleyi,18.67,3.91
Emiliania huxleyi,18.67,3.53
Emiliania huxleyi,21.33,3.69
Emiliania huxleyi,16,3.29
Emiliania huxleyi,18.67,3.33
Emiliania huxleyi,16,3.27
Emiliania huxleyi,21.33,3.6
Emiliania huxleyi,24,3.47
Emiliania huxleyi,24,3.49
Emiliania huxleyi,16,3.76
Emiliania huxleyi,13.33,3.51
Emiliania huxleyi,18.67,3.18
Emiliania huxleyi,37.33,3.63
Emiliania huxleyi,40,3.52
Emiliania huxleyi,21.33,3.66
Emiliania huxleyi,37.33,3.4
Emiliania huxleyi,16,3.28
Emiliania huxleyi,24,3.53
Emiliania huxleyi,16,3.04
Emiliania huxleyi,18.67,4.1
Emiliania huxleyi,16,3.75
Emiliania huxleyi,18.67,3.75
Emiliania huxleyi,18.67,3.12
Emiliania huxleyi,18.67,3.64
Emiliania huxleyi,24,3.75
Emiliania huxleyi,21.33,3.43
Emiliania huxleyi,13.33,3.6
Emiliania huxleyi,18.67,3.63
Emiliania huxleyi,26.67,4.2
Emiliania huxleyi,21.33,2.97
Emiliania huxleyi,13.33,3.79
Emiliania huxleyi,21.33,3.82
Emiliania huxleyi,18.67,3.41
Emiliania huxleyi,13.33,3.45
Emiliania huxleyi,13.33,3.71
Emiliania huxleyi,18.67,3.88
Emiliania huxleyi,21.33,3.17
Emiliania huxleyi,16,3.97
Emiliania huxleyi,21.33,3.69
Emiliania huxleyi,21.33,3.44
Emiliania huxleyi,18.67,3.9
Emiliania huxleyi,21.33,3.84
Emiliania huxleyi,21.33,3.61
Emiliania huxleyi,18.67,3.74
Emiliania huxleyi,10.67,3.92
Emiliania huxleyi,21.33,3.56
Emiliania huxleyi,26.67,3.58
Emiliania huxleyi,,3.47
Emiliania huxleyi,,3.11
Emiliania huxleyi,,3.47
Emiliania huxleyi,,3.55
Emiliania huxleyi,,3.75
Emiliania huxleyi,,3.45
Emiliania huxleyi,,3.5
Emiliania huxleyi,,3.91
Emiliania huxleyi,,3.22
Emiliania huxleyi,,3.85
Emiliania huxleyi,,3.71
Emiliania huxleyi,,3.63
Emiliania huxleyi,,3.71
Emiliania huxleyi,,4.07
Emiliania huxleyi,,3.21
Emiliania huxleyi,,4.13
Emiliania huxleyi,,3.8
Emiliania huxleyi,,3.61
Emiliania huxleyi,,3.67
Emiliania huxleyi,,3.72
Emiliania huxleyi,,4.02
Emiliania huxleyi,,3.4
Emiliania huxleyi,,3.64
Emiliania huxleyi,,3.56
Emiliania huxleyi,,4.13
Emiliania huxleyi,,3.85
Emiliania huxleyi,,4.13
Emiliania huxleyi,,3.69
Emiliania huxleyi,,3.9
Emiliania huxleyi,,3.52
Emiliania huxleyi,,3.58
Emiliania huxleyi,,3.7
Emiliania huxleyi,,3.3
Emiliania huxleyi,,3.4
Emiliania huxleyi,,3.94
Emiliania huxleyi,,3.89
Emiliania huxleyi,,3.53
Emiliania huxleyi,,3.53
Emiliania huxleyi,,3.97
Emiliania huxleyi,,3.93
Emiliania huxleyi,,3.65
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,,
Emiliania huxleyi,24,3.37
Emiliania huxleyi,24,3.27
Emiliania huxleyi,21.33,3.11
Emiliania huxleyi,24,3.02
Emiliania huxleyi,29.33,3.34
Emiliania huxleyi,18.67,3.32
Emiliania huxleyi,21.33,3.06
Emiliania huxleyi,21.33,2.88
Emiliania huxleyi,18.67,3.15
Emiliania huxleyi,40,3.02
Emiliania huxleyi,29.33,3.03
Emiliania huxleyi,21.33,3.08
Emiliania huxleyi,21.33,3.09
Emiliania huxleyi,18.67,2.94
Emiliania huxleyi,29.33,3.18
Emiliania huxleyi,16,3.24
Emiliania huxleyi,21.33,3.37
Emiliania huxleyi,26.67,3.27
Emiliania huxleyi,29.33,3.09
Emiliania huxleyi,24,3.39
Emiliania huxleyi,32,3.24
Emiliania huxleyi,26.67,2.96
Emiliania huxleyi,26.67,3.19
Emiliania huxleyi,18.67,3.14
Emiliania huxleyi,29.33,3.02
Emiliania huxleyi,24,3.33
Emiliania huxleyi,24,3.18
Emiliania huxleyi,18.67,3.38
Emiliania huxleyi,26.67,3.45
Emiliania huxleyi,29.33,3.47
Emiliania huxleyi,21.33,3.31
Emiliania huxleyi,32,3.19
Emiliania huxleyi,29.33,3.23
Emiliania huxleyi,21.33,3.28
Emiliania huxleyi,18.67,3.55
Emiliania huxleyi,21.33,2.78
Emiliania huxleyi,21.33,3.37
Emiliania huxleyi,24,3.53
Emiliania huxleyi,24,3.42
Emiliania huxleyi,24,3.1
Emiliania huxleyi,21.33,3.06
Emiliania huxleyi,24,3.51
Emiliania huxleyi,26.67,3.23
Emiliania huxleyi,21.33,3.64
Emiliania huxleyi,26.67,3.01
Emiliania huxleyi,29.33,2.72
Emiliania huxleyi,18.67,3.27
Emiliania huxleyi,18.67,3.55
Emiliania huxleyi,26.67,3.62
Emiliania huxleyi,24,3.33
Emiliania huxleyi,21.33,2.8
Emiliania huxleyi,24,3.39
Emiliania huxleyi,18.67,3.1
Emiliania huxleyi,21.33,3.24
Emiliania huxleyi,24,3.55
Emiliania huxleyi,32,2.89
