species,CN,CL
Helicosphaera carteri,17,8.68
Helicosphaera carteri,17,8.06
Helicosphaera carteri,12,8.58
Helicosphaera carteri,14,8.85
Helicosphaera carteri,15,8.50
Helicosphaera carteri,18,9.70
Helicosphaera carteri,12,8.11
Helicosphaera carteri,13,8.46
Helicosphaera carteri,12,8.63
Helicosphaera carteri,18,9.27
Helicosphaera carteri,15,9.09
Helicosphaera carteri,23,9.35
Helicosphaera carteri,15,8.71
Helicosphaera carteri,11,9.04
Helicosphaera carteri,13,7.70
Helicosphaera carteri,16,8.39
Helicosphaera carteri,16,8.89
Helicosphaera carteri,19,8.93
Helicosphaera carteri,13,8.13
Helicosphaera carteri,19,8.92
Helicosphaera carteri,15,8.68
Helicosphaera carteri,13,7.87
Helicosphaera carteri,18,8.40
Helicosphaera carteri,18,8.58
Helicosphaera carteri,16,9.65
Helicosphaera carteri,16,8.46
Helicosphaera carteri,18,8.63
Helicosphaera carteri,13,8.99
Helicosphaera carteri,12,7.79
Helicosphaera carteri,19,8.46
Helicosphaera carteri,15,7.85
Helicosphaera carteri,16,8.74
Helicosphaera carteri,17,8.53
Helicosphaera carteri,21,8.53
Helicosphaera carteri,16,9.56
Helicosphaera carteri,21,9.16
Helicosphaera carteri,15,8.56
Helicosphaera carteri,20,7.43
Helicosphaera carteri,14,8.77
Helicosphaera carteri,17,8.68
Helicosphaera carteri,21,9.49
Helicosphaera carteri,19,8.87
Helicosphaera carteri,17,9.02
Helicosphaera carteri,21,9.38
Helicosphaera carteri,12,8.44
Helicosphaera carteri,13,8.99
Helicosphaera carteri,21,7.33
Helicosphaera carteri,15,8.51
Helicosphaera carteri,15,7.88
Helicosphaera carteri,13,8.26
Helicosphaera carteri,16,8.34
Helicosphaera carteri,14,7.83
Helicosphaera carteri,17,10.15
Helicosphaera carteri,16,7.57
Helicosphaera carteri,13,8.53
Helicosphaera carteri,17,8.43
Helicosphaera carteri,11,8.16
Helicosphaera carteri,17,7.37
Helicosphaera carteri,16,8.71
Helicosphaera carteri,14,7.95
Helicosphaera carteri,17,8.17
Helicosphaera carteri,14,7.75
Helicosphaera carteri,15,8.67
Helicosphaera carteri,17,8.64
Helicosphaera carteri,17,9.26
Helicosphaera carteri,14,9.17
Helicosphaera carteri,11,9.94
Helicosphaera carteri,16,8.13
Helicosphaera carteri,15,9.82
Helicosphaera carteri,19,8.62
Helicosphaera carteri,16,8.81
Helicosphaera carteri,14,8.88
Helicosphaera carteri,15,7.84
Helicosphaera carteri,17,8.62
Helicosphaera carteri,11,8.91
Helicosphaera carteri,15,9.10
Helicosphaera carteri,15,8.64
Helicosphaera carteri,15,9.18
Helicosphaera carteri,12,8.59
Helicosphaera carteri,11,9.73
Helicosphaera carteri,14,8.50
Helicosphaera carteri,15,8.52
Helicosphaera carteri,16,8.16
Helicosphaera carteri,15,7.51
Helicosphaera carteri,12,8.40
Helicosphaera carteri,14,8.76
Helicosphaera carteri,14,7.73
Helicosphaera carteri,19,9.53
Helicosphaera carteri,16,8.50
Helicosphaera carteri,15,9.13
Helicosphaera carteri,9,8.84
