species,volume,pg pic,phase
Emiliania huxleyi,129.43,5.5,HET
Emiliania huxleyi,329.19,9.26,HET
Emiliania huxleyi,123.52,6.21,HET
Emiliania huxleyi,336.59,17.53,HET
Emiliania huxleyi,329.68,18.11,HET
Emiliania huxleyi,221.39,8.1,HET
Emiliania huxleyi,43.97,2.32,HET
Emiliania huxleyi,180.93,10.24,HET
Emiliania huxleyi,50.91,1.13,HET
Emiliania huxleyi,294.09,8.41,HET
Emiliania huxleyi,85.78,2.88,HET
Emiliania huxleyi,237.08,10.65,HET
Emiliania huxleyi,825.88,31.42,HET
Emiliania huxleyi,170.64,9.04,HET
Emiliania huxleyi,78.45,2.91,HET
Emiliania huxleyi,145.18,8.96,HET
Emiliania huxleyi,128.46,7.75,HET
Emiliania huxleyi,96.2,6.88,HET
Emiliania huxleyi,145.26,7.25,HET
Emiliania huxleyi,51.34,0.7,HET
Emiliania huxleyi,97.0,4.08,HET
Emiliania huxleyi,88.55,2.81,HET
Emiliania huxleyi,90.87,6.02,HET
Emiliania huxleyi,64.95,2.45,HET
Emiliania huxleyi,92.15,11.0,HET
Emiliania huxleyi,108.18,3.64,HET
Emiliania huxleyi,143.02,4.65,HET
Emiliania huxleyi,128.42,6.19,HET
Emiliania huxleyi,248.47,10.87,HET
Emiliania huxleyi,121.67,4.54,HET
Emiliania huxleyi,260.97,7.64,HET
Emiliania huxleyi,416.4,19.84,HET
Emiliania huxleyi,101.42,2.19,HET
Emiliania huxleyi,77.45,2.02,HET
Emiliania huxleyi,466.77,6.27,HET
Emiliania huxleyi,110.66,4.18,HET
Emiliania huxleyi,143.76,3.02,HET
Emiliania huxleyi,242.91,10.14,HET
Emiliania huxleyi,46.92,1.55,HET
Emiliania huxleyi,139.74,4.76,HET
Emiliania huxleyi,138.69,3.37,HET
Emiliania huxleyi,87.4,2.48,HET
Emiliania huxleyi,101.42,2.83,HET
Emiliania huxleyi,85.18,5.08,HET
Emiliania huxleyi,137.19,4.93,HET
Emiliania huxleyi,254.74,7.75,HET
