species,diameter (um) [median],diameter (um) [95 CI lower],diameter (um) [95 CI upper],POC (pg poc) [median],POC (pg poc) [95 CI lower],POC (pg poc) [95 CI upper],PIC (pg pic) [median],PIC (pg pic) [95 CI lower],PIC (pg pic) [95 CI upper],PIC:POC (pg pic: pg poc) [median],PIC:POC (pg pic: pg poc) [95 CI lower],PIC:POC (pg pic: pg poc) [95 CI upper]
Syracosphaera ampliora HET,8.45,8.42,8.49,48.0,47.3,48.6,16.4,16.2,16.6,0.342,0.336,0.348
Syracosphaera anthos HET,8.03,8.0,8.07,50.0,49.4,50.7,5.27,5.19,5.34,0.105,0.103,0.107
Syracosphaera anthos HOL,9.67,9.62,9.73,91.9,90.3,93.5,11.2,11.1,11.4,0.122,0.12,0.124
Syracosphaera arethusae HET,9.16,9.12,9.2,72.9,71.9,73.9,20.1,19.8,20.4,0.276,0.27,0.281
Syracosphaera arethusae HOL,8.65,8.61,8.69,67.1,66.2,68.0,13.8,13.6,14.1,0.206,0.202,0.211
Syracosphaera aurisinae HET,11.1,11.0,11.1,130.0,128.0,132.0,38.6,38.1,39.2,0.297,0.292,0.302
Syracosphaera aurisinae HOL,6.55,6.51,6.58,24.0,23.7,24.4,9.38,9.3,9.45,0.391,0.384,0.397
Syracosphaera bannockii HET,8.82,8.77,8.88,73.8,72.5,75.1,3.35,3.25,3.45,0.0453,0.044,0.0466
Syracosphaera bannockii HOL,5.12,5.1,5.15,13.0,12.8,13.2,1.57,1.55,1.59,0.121,0.119,0.124
Syracosphaera borealis HET,6.61,6.57,6.64,28.5,28.1,28.9,7.72,7.61,7.83,0.271,0.266,0.276
Syracosphaera corolla HET,9.48,9.44,9.52,94.0,92.8,95.4,22.6,22.3,22.9,0.24,0.236,0.245
Syracosphaera dilatata HET,7.32,7.28,7.35,31.6,31.2,32.0,9.6,9.47,9.72,0.304,0.298,0.31
Syracosphaera epigrosa HET,10.4,10.4,10.4,112.0,111.0,114.0,29.8,29.4,30.2,0.266,0.262,0.271
Syracosphaera exigua HET,9.13,9.09,9.18,73.8,72.7,74.9,19.9,19.6,20.2,0.27,0.265,0.275
Syracosphaera gaarderae HET,8.5,8.46,8.54,50.3,49.6,51.0,15.7,15.4,15.9,0.312,0.306,0.318
Syracosphaera gaarderae HOL,7.77,7.74,7.81,41.5,41.0,42.1,9.72,9.55,9.89,0.234,0.228,0.239
Syracosphaera halldalii HET,9.89,9.8,9.98,105.0,103.0,108.0,3.81,3.64,3.96,0.0361,0.0345,0.0377
Syracosphaera hastata HET,5.34,5.31,5.36,19.1,18.8,19.4,1.23,1.22,1.25,0.0645,0.063,0.0659
Syracosphaera histrica HET,11.6,11.5,11.7,169.0,165.0,173.0,10.9,10.8,11.1,0.0647,0.0627,0.0674
Syracosphaera histrica HOL,10.1,10.0,10.2,91.9,89.5,94.2,3.92,3.86,3.98,0.0426,0.0415,0.0438
Syracosphaera isselii HOL,6.64,6.61,6.67,37.9,37.4,38.4,4.34,4.23,4.44,0.114,0.111,0.118
Syracosphaera lafourcadii HOL,3.32,3.31,3.34,4.34,4.28,4.4,,,,,,
