Genus,Species,Volume,PIC pg C,PIC pmol C,Phase
Emiliania,huxleyi,64.47,2.06,0.17,HET
Emiliania,huxleyi,100.04,5.92,0.49,HET
Emiliania,huxleyi,114.35,4,0.33,HET
Emiliania,huxleyi,173.61,4.88,0.41,HET
Emiliania,huxleyi,162.87,7.57,0.63,HET
Emiliania,huxleyi,101.42,5.32,0.44,HET
Florisphaera,profunda,214.68,34.36,4.12,HET
Florisphaera,profunda,287.96,40.56,4.87,HET
Florisphaera,sp.,924.61,71.89,8.63,HET
Florisphaera,sp.,61.16,6.59,0.79,HET
Florisphaera,sp.,198.66,9.9,1.19,HET
Florisphaera,sp.,285.05,12.45,1.49,HET
Florisphaera,sp.,175.95,5.8,0.7,HET
Florisphaera,sp.,139.2,4.95,0.59,HET
Florisphaera,sp.,214.51,10.32,1.24,HET
Florisphaera,sp.,305.93,15.04,1.81,HET
Florisphaera,sp.,104.23,6.73,0.81,HET
Florisphaera,sp.,435.38,14.96,1.8,HET
Florisphaera,sp.,280.42,11.16,1.34,HET
Florisphaera,sp.,363.8,18.73,2.25,HET
Florisphaera,sp.,332.75,12.84,1.54,HET
Florisphaera,sp.,500.4,16.04,1.93,HET
Florisphaera,sp.,117.85,6.73,0.81,HET
Florisphaera,sp.,94.06,4.11,0.49,HET
Florisphaera,sp.,101.38,6.59,0.79,HET
Florisphaera,sp.,140.67,10.46,1.25,HET
Florisphaera,sp.,83.8,5.16,0.62,HET
Florisphaera,sp.,70.05,2.16,0.26,HET
Florisphaera,sp.,158.47,13.04,1.57,HET
Florisphaera,sp.,125.93,9.57,1.15,HET
Florisphaera,sp.,308.93,47.03,5.64,HET
Florisphaera,sp.,168.54,7.08,0.85,HET
Florisphaera,sp.,96.32,4.65,0.56,HET
Florisphaera,sp.,92.19,12.63,1.52,HET
Florisphaera,sp.,265.84,13.04,1.57,HET
Florisphaera,sp.,198.28,8.6,1.03,HET
Florisphaera,sp.,103.71,6.03,0.72,HET
Florisphaera,sp.,186.57,7.7,0.92,HET
Gephyrocapsa,ericsonii,80.67,6.87,0.57,HET
Gephyrocapsa,ericsonii,17.78,0.87,0.07,HET
Gephyrocapsa,ericsonii,20.56,0.68,0.06,HET
Gephyrocapsa,ericsonii,11.28,1.04,0.09,HET
Gephyrocapsa,ericsonii,27.84,2.87,0.24,HET
Gephyrocapsa,ericsonii,16.52,1.45,0.12,HET
Gephyrocapsa,ericsonii,16.29,1.04,0.09,HET
Gephyrocapsa,ericsonii,24.85,3.33,0.28,HET
Gephyrocapsa,ericsonii,13.45,2.1,0.17,HET
Gephyrocapsa,ericsonii,17.37,0.6,0.05,HET
Gephyrocapsa,ornata,34.3,3.59,0.3,HET
Gephyrocapsa,ericsonii,14.83,0.49,0.04,HET
Gephyrocapsa,ericsonii,14.93,0.7,0.06,HET
Gephyrocapsa,ericsonii,17.42,2.89,0.24,HET
Gephyrocapsa,ericsonii,39.97,3.31,0.28,HET
Gephyrocapsa,ericsonii,23.2,1.23,0.1,HET
Gephyrocapsa,ericsonii,35.38,3.72,0.31,HET
Gephyrocapsa,ericsonii,25.19,3.11,0.26,HET
Gephyrocapsa,ericsonii,31.12,1.3,0.11,HET
Gephyrocapsa,ericsonii,34.16,2.64,0.22,HET
Gephyrocapsa,ericsonii,26.23,2.19,0.18,HET
Gephyrocapsa,sp.,24.45,5.4,0.45,HET
Gephyrocapsa,ericsonii,10.98,0.59,0.05,HET
Gephyrocapsa,parvula,40.41,2.11,0.18,HET
Gephyrocapsa,ericsonii,23.83,1.47,0.12,HET
Gephyrocapsa,ericsonii,16.29,1.84,0.15,HET
Gephyrocapsa,ericsonii,23.84,0.81,0.07,HET
Gephyrocapsa,ericsonii,19.79,1.33,0.11,HET
Gephyrocapsa,ericsonii,27.3,0.81,0.07,HET
Gephyrocapsa,ericsonii,12.71,1.04,0.09,HET
Gephyrocapsa,ericsonii,18.65,1.66,0.14,HET
Gephyrocapsa,ericsonii,19.44,1.25,0.1,HET
Gephyrocapsa,ericsonii,27.36,2.5,0.21,HET
Gephyrocapsa,ericsonii,18.71,1.28,0.11,HET
Gephyrocapsa,ericsonii,16.6,1.04,0.09,HET
Gephyrocapsa,ericsonii,33.55,1.12,0.09,HET
Gephyrocapsa,ericsonii,11.91,0.77,0.06,HET
Gephyrocapsa,ericsonii,10.48,1.07,0.09,HET
Gephyrocapsa,ericsonii,14.44,0.55,0.05,HET
Gephyrocapsa,ericsonii,9.32,1.49,0.12,HET
Gephyrocapsa,ericsonii,14.12,0.53,0.04,HET
Gephyrocapsa,ericsonii,24.63,3.2,0.27,HET
Gephyrocapsa,ericsonii,11.36,1.59,0.13,HET
Gephyrocapsa,ericsonii,9.93,0.88,0.07,HET
Gephyrocapsa,ericsonii,9.93,0.59,0.05,HET
Gephyrocapsa,ericsonii,9.7,0.42,0.03,HET
Gephyrocapsa,ericsonii,10.78,0.8,0.07,HET
